,city,train_len,train_RMSE,test_RMSE,class
0,StGallen_Blumenbergplatz,12.0,8.209905773995803,6.810145550995886,low traffic
0,StGallen_Stuelegg,12.0,2.5530584901475093,1.7999457935015513,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.447973954096614,6.482427574369855,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.656771006235786,4.522068915800582,low traffic
0,Opfikon_Balsberg,18.0,7.205016379390636,6.480872856222428,high traffic
0,StGallen_Blumenbergplatz,18.0,7.922161424516239,6.61708093672881,low traffic
0,StGallen_Stuelegg,18.0,3.077188954262701,1.9147608295397385,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.799116241785819,6.343112201188953,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,6.8789548566264545,4.352340999455867,low traffic
0,Opfikon_Balsberg,24.0,6.87570823692956,6.585651903411709,high traffic
0,StGallen_Blumenbergplatz,24.0,7.68125191380537,6.648553152708597,low traffic
0,StGallen_Stuelegg,24.0,2.8470311890366813,1.7264981388874394,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.963931635543584,5.874775485949799,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,6.97623089665049,4.061010997237788,low traffic
0,Opfikon_Balsberg,3.0,5.904261880247074,5.053395302935903,high traffic
0,StGallen_Blumenbergplatz,3.0,5.727306348650942,7.822158091040528,low traffic
0,StGallen_Stuelegg,3.0,1.6555980314727943,1.7447015002463668,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.362896721886832,26.293544764965777,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.054274775965273,21.651496929335018,low traffic
0,Opfikon_Balsberg,6.0,6.484914625158615,8.647427791694446,high traffic
0,StGallen_Blumenbergplatz,6.0,8.300991508244003,7.662479790042294,low traffic
0,StGallen_Stuelegg,6.0,2.353821591723781,1.9628290159029074,no traffic
0,Zuerich_Schimmelstrasse,6.0,5.478030808396611,27.27434452914636,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.0808647795494615,11.967501447442586,low traffic
0,Opfikon_Balsberg,9.0,7.040949007769947,11.336888354301742,high traffic
0,StGallen_Blumenbergplatz,9.0,8.69578321202899,7.83834090601013,low traffic
0,StGallen_Stuelegg,9.0,2.825735957437992,1.8890398838065037,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.4450529978725815,31.11549904461894,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.775797071728659,15.911444099921603,low traffic
0,Opfikon_Balsberg,12.0,6.716896369659542,4.814379242763549,high traffic
0,StGallen_Blumenbergplatz,12.0,8.324395242560307,5.903092620798706,low traffic
0,StGallen_Stuelegg,12.0,2.5548704139328753,1.7640809629162608,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.454680532303689,7.367456931661484,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.551907660926624,6.673407635476832,low traffic
0,Opfikon_Balsberg,18.0,7.015707744007489,4.672624636195042,high traffic
0,StGallen_Blumenbergplatz,18.0,7.942920254248623,6.2717702714512225,low traffic
0,StGallen_Stuelegg,18.0,2.9111181867204516,1.7931073804292288,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.740291522099352,6.972071363769047,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,6.676476923883256,6.886335594471913,low traffic
0,Opfikon_Balsberg,24.0,6.8668141186340685,4.672939846962832,high traffic
0,StGallen_Blumenbergplatz,24.0,7.708477830190034,5.631279663410058,low traffic
0,StGallen_Stuelegg,24.0,2.843129336350406,1.6622835019633615,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.95019977850723,6.762552594599654,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,6.978848453845293,6.909527304851785,low traffic
0,Opfikon_Balsberg,3.0,4.885471521858754,5.224222825669886,high traffic
0,StGallen_Blumenbergplatz,3.0,5.934360957980715,6.693511173688456,low traffic
0,StGallen_Stuelegg,3.0,1.2775679269046736,1.3791062256162925,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.479308055704902,7.388990310904826,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.482398654393513,9.130282065502794,low traffic
0,Opfikon_Balsberg,6.0,5.48478821250531,4.83301710995087,high traffic
0,StGallen_Blumenbergplatz,6.0,7.052926708686803,6.353408058627891,low traffic
0,StGallen_Stuelegg,6.0,1.9103313196397296,1.3952686389364881,no traffic
0,Zuerich_Schimmelstrasse,6.0,5.594311624008769,8.081509866953276,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.034427283287227,10.464167842443034,low traffic
0,Opfikon_Balsberg,9.0,7.11423619428789,5.037704980948523,high traffic
0,StGallen_Blumenbergplatz,9.0,8.482799273805426,5.458996220019874,low traffic
0,StGallen_Stuelegg,9.0,2.774356837906997,1.1727685262699854,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.742740486473876,6.285896371203959,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.6902728922661066,5.320534082972679,low traffic
0,Opfikon_Balsberg,12.0,6.734990185440155,5.199808980151518,high traffic
0,StGallen_Blumenbergplatz,12.0,8.318019003450559,6.151655216942843,low traffic
0,StGallen_Stuelegg,12.0,2.5759839820542902,1.2009166960385347,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.502246130381285,10.03019175836022,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.638381772953596,4.122513437088138,low traffic
