,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-06-28,33.620625,Opfikon_Balsberg,39.31742782853286,37.40975278931235,29.87617493882443,1,high traffic,2016
2016-06-29,51.84785714285715,Opfikon_Balsberg,35.94455630990522,33.58959746497348,26.131509438718204,2,high traffic,2016
2016-06-30,40.16125,Opfikon_Balsberg,37.527865676791635,34.377518758287486,28.79273498633267,3,high traffic,2016
2016-07-01,35.620909090909095,Opfikon_Balsberg,36.62897084791859,33.409761830730204,25.234206321740103,4,high traffic,2016
2016-07-02,40.42333333333333,Opfikon_Balsberg,33.12117886942006,35.295912674212644,23.625527831898722,5,high traffic,2016
2016-07-03,24.29708333333333,Opfikon_Balsberg,26.209796181411697,31.39132423588057,17.13455951059214,6,high traffic,2016
2016-07-04,34.57578947368422,Opfikon_Balsberg,36.53283405251375,36.53283405251375,25.556385803395777,0,high traffic,2016
2016-07-05,32.45695652173914,Opfikon_Balsberg,37.6276507544899,35.801963417009624,28.268385566521705,1,high traffic,2016
2016-07-06,37.629090909090905,Opfikon_Balsberg,34.681501823495154,32.409293793700975,24.9512057674457,2,high traffic,2016
2016-07-07,24.272083333333335,Opfikon_Balsberg,26.425975561493495,24.20759758616136,18.62281381420654,3,high traffic,2016
2016-07-08,50.06952380952382,Opfikon_Balsberg,38.26752281633042,34.90430644240402,26.72875093341392,4,high traffic,2016
2016-07-09,33.71166666666667,Opfikon_Balsberg,31.40530792256104,33.46737778602751,21.79699294371359,5,high traffic,2016
2016-07-10,37.66166666666667,Opfikon_Balsberg,28.250859248740717,33.83589389559607,19.579129170307645,6,high traffic,2016
2016-07-11,41.40666666666667,Opfikon_Balsberg,34.63244477974211,34.63244477974211,23.655996530624137,0,high traffic,2016
2016-07-12,47.03272727272726,Opfikon_Balsberg,39.90503520185333,37.968849550905254,30.435271700417335,1,high traffic,2016
2016-07-13,44.65166666666667,Opfikon_Balsberg,34.078423679296435,31.84572717379596,24.387639147540686,2,high traffic,2016
2016-07-14,45.08650000000001,Opfikon_Balsberg,33.39431449052506,30.5909662623884,25.00618249043358,3,high traffic,2016
2016-07-15,34.096666666666664,Opfikon_Balsberg,36.31190154447304,33.120558785525,24.945003276534898,4,high traffic,2016
2016-07-16,19.46818181818181,Opfikon_Balsberg,26.470938138105534,28.20901769863294,16.53863285631902,5,high traffic,2016
2016-07-17,21.55333333333333,Opfikon_Balsberg,27.819837402759216,33.31966147523301,19.062896749944585,6,high traffic,2016
2016-07-18,31.539583333333336,Opfikon_Balsberg,32.65721995034115,32.65721995034115,21.68077170122318,0,high traffic,2016
2016-07-19,24.845,Opfikon_Balsberg,20.855509447078052,19.843603607867838,12.310025757379918,1,high traffic,2016
2016-07-20,48.33227272727272,Opfikon_Balsberg,33.15029599418432,30.978407097002524,23.52031907074725,2,high traffic,2016
2016-07-21,35.82791666666667,Opfikon_Balsberg,33.8819152391288,31.037634453594556,25.452850681639738,3,high traffic,2016
